,car_ID,CarName,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
0,1,alfa-romero giulia,0.068965517241379,0.4172413793103451,0.23232323232323182,0.0,0.3736545361353152,0.5,0.4316546762589929,0.6269841269841274,0.20779220779220808,0.1333333333333333,0.346938775510204,0.4594594594594592,0.26086956521739124,0.2592592592592593,0.2625195863365716
1,2,alfa-romero stelvio,0.068965517241379,0.4172413793103451,0.23232323232323182,0.0,0.3736545361353152,0.5,0.4316546762589929,0.6269841269841274,0.20779220779220808,0.1333333333333333,0.346938775510204,0.4594594594594592,0.26086956521739124,0.2592592592592593,0.3566906925728611
2,3,alfa-romero Quadrifoglio,0.27241379310344804,0.45862068965517233,0.3737373737373737,0.32727272727272716,0.514607893388006,1.0,0.5899280575539569,0.0,0.720779220779221,0.1333333333333333,0.6394557823129252,0.4594594594594592,0.17391304347826086,0.2222222222222222,0.3566906925728611
3,4,audi 100 ls,0.45517241379310347,0.5517241379310347,0.44444444444444464,0.5,0.26550486929779593,0.5,0.28057553956834536,0.40476190476190466,0.6753246753246755,0.19999999999999996,0.2857142857142857,0.7297297297297294,0.3913043478260869,0.37037037037037046,0.27677843936070196
4,5,audi 100ls,0.4413793103448276,0.5517241379310347,0.4646464646464654,0.5,0.5151204510507432,0.75,0.47482014388489213,0.40476190476190466,0.6753246753246755,0.06666666666666665,0.37414965986394555,0.7297297297297294,0.13043478260869557,0.07407407407407407,0.3864619241617048
5,6,audi fox,0.45517241379310347,0.5637931034482762,0.45454545454545414,0.39090909090909065,0.35263967196309576,0.75,0.47482014388489213,0.40476190476190466,0.6753246753246755,0.09999999999999998,0.34013605442176864,0.7297297297297294,0.17391304347826086,0.18518518518518512,0.31751801942964586
6,7,audi 100ls,0.6620689655172414,0.829310344827586,0.9696969696969697,0.6272727272727279,0.5253716043054844,0.75,0.47482014388489213,0.40476190476190466,0.6753246753246755,0.09999999999999998,0.34013605442176864,0.7297297297297294,0.17391304347826086,0.18518518518518512,0.3946098401754936
7,8,audi 5000,0.6620689655172414,0.829310344827586,0.9696969696969697,0.6272727272727279,0.5817529472065608,0.75,0.47482014388489213,0.40476190476190466,0.6753246753246755,0.09999999999999998,0.34013605442176864,0.7297297297297294,0.17391304347826086,0.18518518518518512,0.432528987778126
8,9,audi 4000,0.6620689655172414,0.829310344827586,0.9696969696969697,0.6454545454545455,0.6494105586878525,0.75,0.4388489208633094,0.3571428571428572,0.6753246753246755,0.08666666666666667,0.5442176870748299,0.7297297297297294,0.08695652173913038,0.0,0.5878094641178314
9,10,audi 5000s (diesel),0.44482758620689644,0.579310344827586,0.6161616161616168,0.290909090909091,0.6324961558175295,0.75,0.4388489208633094,0.3571428571428572,0.6753246753246755,0.0,0.6802721088435373,0.7297297297297294,0.04347826086956519,0.07407407407407407,0.3992844562832968
10,11,bmw 320i,0.5034482758620689,0.555172413793104,0.30303030303030276,0.5,0.29523321373654543,0.5,0.27338129496402885,0.6507936507936511,0.2857142857142858,0.12,0.2789115646258503,0.8918918918918917,0.34782608695652173,0.33333333333333326,0.35449702287684115
